AveragePrice,Total Volume
1.33,62505646.52
1.35,61034457.1
0.93,52288697.89
1.08,47293921.6
1.28,46324529.7
1.26,44655461.51
0.99,43409835.75
0.98,43167806.09
1.02,42939821.55
1.07,42867608.54
1.12,42140393.39
1.28,41386314.12
1.31,41291704.39
0.99,41077470.65
1.33,40741214.05
1.28,40449603.12
1.11,40231259.65
1.07,40171640.84
1.34,40021528.76
1.33,40019075.24
1.12,39993186.04
1.45,39914996.74
1.11,39607695.3
1.26,39373579.25
1.05,39367336.18
1.35,38879716.85
1.37,38489936.14
1.27,38315500.43
1.32,38295488.31
1.07,38267341.61
1.23,38247669.33
1.19,38142088.04
1.43,38049802.62
1.26,38010426.16
1.2,37943670.34
1.22,37467885.19
1.19,37352360.59
1.13,37305307.68
1.16,37299945.22
1.02,37130688.91
1.12,37039853.8
1.11,37030893.73
1.07,37026085.75
0.99,37007797.69
1.07,36958035.51
1.06,36801817.68
0.99,36709887.49
0.99,36703156.72
1.06,36634269.03
1.17,36617023.79
1.24,36584029.39
1.22,36549995.66
0.99,36476441.86
1.08,36400886.58
0.96,36374516.14
1.07,36335483.78
0.99,35930195.92
1,35734613.9
1.13,35729013.92
1.12,35634913.01
0.99,35580820
1.09,35567568.43
1.09,35344183.15
0.95,35264336.01
0.96,35182320.78
1.07,35064506.04
0.93,34785712.55
1.07,34721249.92
0.97,34468017.36
1.15,34426341.87
1.12,34397651.15
1.09,34386177.3
1.01,34126730.95
1.15,33993931.31
1.08,33905854.58
0.97,33824253
1.14,33819909.09
1.01,33720159.09
1.13,33684175.01
0.99,33668450.55
1.1,33592097.72
0.99,33526480.08
1.1,33254911.87
0.96,33091256.26
1.11,32994014.16
1.1,32817254.13
1,32804733.22
1.12,32787079.21
1.12,32656123.63
0.99,32608301.51
1.04,32555119.32
1.11,32529920.23
1,32513550.51
1.12,32455047.11
1.1,32408705.7
0.99,32339377.09
1.1,32336225
1.06,32324647.66
1.03,32137333.01
0.96,32051594.24
1.1,32046401.64
1.11,32027686.15
1.11,32020573.94
1,31936856.18
1.17,31756097.22
1.11,31660031.68
1.15,31621221.9
1.04,31595125.23
1.16,31500669.44
1.12,31346091.46
1.04,31324277.73
1.05,31245835.65
1.12,31201590.22
1.19,31047484.27
0.99,30894157.8
1.24,30757767.03
1.28,30652211.08
1.19,30358467.88
1.17,30305112.89
1.09,30287853.7
1.18,30237911.23
1.24,30094698.85
1.16,30093540.7
1.14,29982648.43
1.16,29936729.76
1.17,29913744.37
1.2,29761638.48
1.18,29699845.61
1.1,29615008.49
1.16,29583882.61
1.15,29572225.71
1.16,29569086.56
1.09,29375123.6
1.26,29253484
1.19,29216198.15
1.18,29102349.33
1.27,29063542.75
1.26,29043458.85
1.17,28857581.98
1.29,28800396.57
1.28,28785279.75
1.15,28597756.27
1.29,28485715.97
1.25,28470310.84
1.1,28243505.52
1.24,28041335.38
1.26,28012520.93
1.16,27753508.14
1.11,27707046.82
1.25,27297983.67
1.09,26808410.65
1.06,26706971.51
1.2,26385081.36
1.23,26240072.11
1.17,25394902.82
1.08,25114228.11
0.97,25083647.17
1.03,25031589.09
0.99,24989702.75
0.71,24753513.95
1.06,24686675
1.09,24637148.38
1.01,24610645.21
1.11,24397166.19
1.14,24075126.49
1.11,22923062.65
1.16,22617999.38
0.94,22534698.38
1.12,21009730.21
0.99,11274749.11
1.03,11213596.29
1.08,10894677.77
1.16,10565056.41
1.19,10361698.17
1.05,10323174.59
1.12,9718438.84
1.1,9421609.22
1.07,9032180.67
1.07,9010588.32
1.09,8706859.44
1.05,8567534.49
1.15,8545908.75
1.04,8389918.04
1.06,8362504.08
0.99,8153340.48
1.12,8055482.07
0.97,8043965.41
1.03,7922898.43
0.96,7876147.38
1.06,7872203.23
1,7808461.74
0.96,7730431.28
0.99,7707711.9
1.19,7667064.46
1.09,7661483.37
0.98,7648478.57
1.17,7637424.02
1,7606351.8
1.14,7592473.98
1.06,7589357.36
0.99,7577456.14
1.14,7568132.39
1.07,7561590.72
0.91,7545938.97
1.03,7523061.26
1.08,7516415.07
1.18,7508650.27
